ATF	1.0
8	11     
"AcquisitionMode=Episodic Stimulation"
"Comment="
"YTop=1000"
"YBottom=-1000"
"SyncTimeUnits=12.5"
"SweepStartTimesMS=0.000,3000.000,6000.000,9000.000,12000.000,15000.000,18000.000,21000.000,24000.000,27000.000"
"SignalsExported=V1prim"
"Signals="	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"
"Time (s)"	"Trace #1 (mV)"	"Trace #2 (mV)"	"Trace #3 (mV)"	"Trace #4 (mV)"	"Trace #5 (mV)"	"Trace #6 (mV)"	"Trace #7 (mV)"	"Trace #8 (mV)"	"Trace #9 (mV)"	"Trace #10 (mV)"
0.00275	-29.541	-29.2053	-29.9988	-29.602	-29.9072	-29.1748	-29.0833	-28.3813	-29.0222	-29.2053
0.0028	-29.5715	-29.1748	-29.9683	-29.6631	-29.8767	-29.1748	-29.0222	-28.4119	-29.0833	-29.2358
0.00285	-29.5715	-29.2053	-29.9683	-29.602	-29.8767	-29.2053	-29.0527	-28.3813	-29.0222	-29.2053
0.0029	-29.602	-29.2053	-29.9988	-29.602	-29.8767	-29.2053	-29.1138	-28.4119	-29.0222	-29.2053
0.00295	-29.5715	-29.2664	-29.9683	-29.602	-29.9072	-29.2358	-29.1138	-28.3813	-29.0527	-29.2358
0.003	-29.541	-29.2664	-29.9683	-29.6326	-29.8767	-29.2664	-29.1138	-28.4424	-29.0833	-29.2664
0.00305	-29.602	-29.2664	-29.9988	-29.6631	-29.9072	-29.1748	-29.1138	-28.4119	-29.0527	-29.2358
0.0031	-29.541	-29.2664	-29.9988	-29.6631	-29.9072	-29.1748	-29.0833	-28.4119	-29.0833	-29.2358
0.00315	-29.5715	-29.2358	-30.0293	-29.6326	-29.9377	-29.2358	-29.0833	-28.4119	-29.0833	-29.2053
0.0032	-29.5715	-29.2358	-30.0293	-29.6326	-29.9377	-29.1443	-29.1138	-28.3813	-29.1138	-29.2053
0.00325	-29.541	-29.2053	-29.9377	-29.6326	-29.8767	-29.1443	-29.0833	-28.3508	-29.0833	-29.1748
0.0033	-29.541	-29.2358	-29.9683	-29.6326	-29.8767	-29.1748	-29.0833	-28.3203	-29.0833	-29.2053
0.00335	-29.5715	-29.2664	-29.9988	-29.6631	-29.8767	-29.1443	-29.0833	-28.3813	-29.0527	-29.1748
0.0034	-29.541	-29.2664	-29.9683	-29.6631	-29.8767	-29.1748	-29.0833	-28.4119	-29.1138	-29.2053
0.00345	-29.541	-29.2053	-30.0293	-29.6936	-29.9377	-29.2358	-29.0833	-28.4119	-29.1138	-29.1748
0.0035	-29.541	-29.2358	-29.9988	-29.6631	-29.9377	-29.1748	-29.0527	-28.4119	-29.0527	-29.2053
0.00355	-29.5105	-29.2053	-29.9988	-29.6631	-29.8767	-29.1748	-29.1138	-28.4729	-29.0833	-29.2053
0.0036	-29.541	-29.2358	-30.0293	-29.6326	-29.9072	-29.2358	-29.1443	-28.4424	-29.1138	-29.2664
0.00365	-29.5715	-29.1748	-29.9988	-29.6326	-29.8462	-29.1748	-29.0527	-28.4424	-29.1138	-29.2358
0.0037	-29.5105	-29.2053	-30.0293	-29.602	-29.8767	-29.1748	-29.1138	-28.4119	-29.0833	-29.2358
