label,family,baseline_E,baseline_I,baseline_ptp,min_activity,max_activity,E_mean_0,I_mean_0,E_ptp_0,crossings_0,I_output_mean_0,E_mean_1,I_mean_1,E_ptp_1,crossings_1,I_output_mean_1,persistent_oscillation,valid_baseline
somatic_targeting/S2/baseline,somatic_targeting,0.06466486181418278,0.06077197864345284,1.1121221565990602e-05,0.05000428897103867,0.07976359114683541,0.06466445263642885,0.06077193168268324,0.0,0,0.06077193168268324,0.06466445263642885,0.06077193168268324,0.0,0,0.06077193168268324,False,True
somatic_targeting/S2/Syn,somatic_targeting,0.06466486181418278,0.06077197864345284,1.1121221565990602e-05,0.007584716899142804,0.30764901120729576,0.10301585138602991,0.07686897512736345,0.3000634067497556,9,0.07686897512736345,0.09654492888166061,0.07430680224464849,0.30006429430815296,9,0.07430680224464849,True,True
somatic_targeting/S2/CaMKII,somatic_targeting,0.06466486181418278,0.06077197864345284,1.1121221565990602e-05,0.028869148208896026,0.07976359114683541,0.030029706001990966,0.03991336560758504,0.0,0,0.03991336560758504,0.030029706001990966,0.03991336560758504,0.0,0,0.03991336560758504,False,True
somatic_targeting/S2/hDlx,somatic_targeting,0.06466486181418278,0.06077197864345284,1.1121221565990602e-05,0.01760026177794586,0.41822775019796915,0.15512359404834833,0.11416868516871702,0.4006269499291173,12,0.11416868516871702,0.1551154420507195,0.11416617907870374,0.4006274469830452,12,0.11416617907870374,True,True
somatic_targeting/S2/I_spared,somatic_targeting,0.06466486181418278,0.06077197864345284,1.1121221565990602e-05,0.028869148208896026,0.07976359114683541,0.030029706001990966,0.03991336560758504,0.0,0,0.03991336560758504,0.030029706001990966,0.03991336560758504,0.0,0,0.03991336560758504,False,True
somatic_targeting/S1/baseline,somatic_targeting,0.06466486181418278,0.06077197864345284,1.1121221565990602e-05,0.05000428897103867,0.07976359114683541,0.06466445263642885,0.06077193168268324,0.0,0,0.06077193168268324,0.06466445263642885,0.06077193168268324,0.0,0,0.06077193168268324,False,True
somatic_targeting/S1/Syn,somatic_targeting,0.06466486181418278,0.06077197864345284,1.1121221565990602e-05,0.040114797435507894,0.07976359114683541,0.04864048236002482,0.040963372319465105,0.0,0,0.040963372319465105,0.04864048236002482,0.040963372319465105,0.0,0,0.040963372319465105,False,True
somatic_targeting/S1/CaMKII,somatic_targeting,0.06466486181418278,0.06077197864345284,1.1121221565990602e-05,0.028869148208896026,0.07976359114683541,0.030029706001990966,0.03991336560758504,0.0,0,0.03991336560758504,0.030029706001990966,0.03991336560758504,0.0,0,0.03991336560758504,False,True
somatic_targeting/S1/hDlx,somatic_targeting,0.06466486181418278,0.06077197864345284,1.1121221565990602e-05,0.01760026177794586,0.41822775019796915,0.15512359404834833,0.11416868516871702,0.4006269499291173,12,0.11416868516871702,0.1551154420507195,0.11416617907870374,0.4006274469830452,12,0.11416617907870374,True,True
somatic_targeting/S1/I_spared,somatic_targeting,0.06466486181418278,0.06077197864345284,1.1121221565990602e-05,0.028869148208896026,0.07976359114683541,0.030029706001990966,0.03991336560758504,0.0,0,0.03991336560758504,0.030029706001990966,0.03991336560758504,0.0,0,0.03991336560758504,False,True
release_circuit/S2/baseline,release_circuit,0.06466486181418278,0.06077197864345284,1.1121221565990602e-05,0.05000428897103867,0.07976359114683541,0.06466445263642885,0.06077193168268324,0.0,0,0.06077193168268324,0.06466445263642885,0.06077193168268324,0.0,0,0.06077193168268324,False,True
release_circuit/S2/Syn,release_circuit,0.06466486181418278,0.06077197864345284,1.1121221565990602e-05,0.042155246370407594,0.42645627360742305,0.20713235537548627,0.2126151261420548,0.38429766203828464,9,0.1063075630710274,0.2040526306717547,0.20748101778647596,0.3843008233468253,9,0.10374050889323798,True,True
release_circuit/S2/CaMKII,release_circuit,0.06466486181418278,0.06077197864345284,1.1121221565990602e-05,0.05000428897103867,0.07976359114683541,0.06053020715141478,0.05415947403115132,0.0,0,0.05415947403115132,0.06053020715141478,0.05415947403115132,0.0,0,0.05415947403115132,False,True
release_circuit/S2/hDlx,release_circuit,0.06466486181418278,0.06077197864345284,1.1121221565990602e-05,0.048208668650294106,0.45729025316487276,0.26170506880182287,0.2850093950912204,0.4090812172535374,7,0.1425046975456102,0.26191166646426395,0.28555274538797903,0.4090808108770453,7,0.14277637269398952,True,True
release_circuit/S2/I_spared,release_circuit,0.06466486181418278,0.06077197864345284,1.1121221565990602e-05,0.05000428897103867,0.07976359114683541,0.06053020715141478,0.05415947403115132,0.0,0,0.05415947403115132,0.06053020715141478,0.05415947403115132,0.0,0,0.05415947403115132,False,True
release_circuit/S1/baseline,release_circuit,0.049634995286581635,0.051156591988588095,3.9713912713956745e-11,0.0492843665072553,0.0516429246173596,0.04963499528487548,0.05115659198795895,0.0,0,0.05115659198795895,0.04963499528487548,0.05115659198795895,0.0,0,0.05115659198795895,False,True
release_circuit/S1/Syn,release_circuit,0.049634995286581635,0.051156591988588095,3.9713912713956745e-11,0.0492843665072553,0.15035419150524149,0.12989046955923078,0.11339313613186969,9.161784469968737e-09,5,0.056696568065934844,0.12989046962830123,0.11339313612659707,4.961950295090389e-11,4,0.056696568063298536,False,True
release_circuit/S1/CaMKII,release_circuit,0.049634995286581635,0.051156591988588095,3.9713912713956745e-11,0.04720130125873928,0.0516429246173596,0.04799307954487785,0.047301500788634605,0.0,0,0.047301500788634605,0.04799307954487785,0.047301500788634605,0.0,0,0.047301500788634605,False,True
release_circuit/S1/hDlx,release_circuit,0.049634995286581635,0.051156591988588095,3.9713912713956745e-11,0.04437593678183076,0.2912778055127849,0.1361317285801523,0.15497223112928307,0.24690170327593314,9,0.07748611556464154,0.14141126065636406,0.15837861795077202,0.2469013875278247,10,0.07918930897538601,True,True
release_circuit/S1/I_spared,release_circuit,0.049634995286581635,0.051156591988588095,3.9713912713956745e-11,0.04720130125873928,0.0516429246173596,0.04799307954487785,0.047301500788634605,0.0,0,0.047301500788634605,0.04799307954487785,0.047301500788634605,0.0,0,0.047301500788634605,False,True
remote/baseline,remote,0.06466486181418278,0.06077197864345284,1.1121221565990602e-05,0.05000428897103867,0.07976359114683541,0.06466445263642885,0.06077193168268324,0.0,0,0.06077193168268324,0.06466445263642885,0.06077193168268324,0.0,0,0.06077193168268324,False,True
remote/Syn_S2,remote,0.06466486181418278,0.06077197864345284,1.1121221565990602e-05,0.009824872311969319,0.37813363219027146,0.12227330127803103,0.1048537014115054,0.36830875987830214,11,0.1048537014115054,0.13004214549082893,0.10778979843378192,0.36830669373021385,12,0.10778979843378192,True,True
remote/CaMKII_S2,remote,0.06466486181418278,0.06077197864345284,1.1121221565990602e-05,0.009824872311969319,0.37813363219027146,0.12227330127803103,0.1048537014115054,0.36830875987830214,11,0.1048537014115054,0.13004214549082893,0.10778979843378192,0.36830669373021385,12,0.10778979843378192,True,True
remote/Syn_S1,remote,0.06466486181418278,0.06077197864345284,1.1121221565990602e-05,0.034940064056467095,0.18201721814013633,0.09426285590361821,0.07570526000438633,0.14707587374840103,11,0.07570526000438633,0.0906013120489654,0.0748812049320268,0.14707715408366923,10,0.0748812049320268,True,True
remote/gate_preserved,remote,0.06466486181418278,0.06077197864345284,1.1121221565990602e-05,0.05000428897103867,0.07976359114683541,0.06466445263642885,0.06077193168268324,0.0,0,0.06077193168268324,0.06466445263642885,0.06077193168268324,0.0,0,0.06077193168268324,False,True
E_only_counterexample/baseline,E_only_counterexample,0.4482163794565156,0.4232708389868157,0.0,0.05000428897103867,0.4799318886325737,0.44821637945651555,0.4232708389868157,0.0,0,0.4232708389868157,0.44821637945651555,0.4232708389868157,0.0,0,0.4232708389868157,False,True
E_only_counterexample/E_suppressed,E_only_counterexample,0.4482163794565156,0.4232708389868157,0.0,0.04646866590600569,0.4799318886325737,0.2823900629646679,0.2803789377580107,0.425568166323927,11,0.2803789377580107,0.28296164455699546,0.28174219265703815,0.4255678515142615,11,0.28174219265703815,True,True
