g_kna_mS_cm2,current_uA_cm2,rate_hz,late_voltage_mV,late_voltage_sd_mV,h_available,sodium_mM,block,calcium_voltage_proxy,late_spikes
10,60,102.0,-49.55913543701172,22.411102294921875,0.19446508586406708,14.659573554992676,0.0,0.1933017522096634,10.0
10,80,120.0,-47.05385971069336,19.73790740966797,0.1444224864244461,14.632540702819824,0.0,0.22596049308776855,12.0
10,100,140.0,-44.68770217895508,16.19068145751953,0.10603969544172287,14.114319801330566,0.0,0.26137784123420715,14.0
10,120,158.0,-42.58763885498047,12.115545272827148,0.07753044366836548,13.315302848815918,0.0,0.28067731857299805,16.0
10,140,4.0,-40.6165771484375,7.266650676727295,0.05720757693052292,12.568570137023926,0.0,0.2656908333301544,0.0
10,150,4.0,-39.64398193359375,3.369633436203003,0.04948603734374046,12.292159080505371,0.0,0.24262423813343048,0.0
10,160,4.0,-39.03705596923828,0.00032872892916202545,0.04555818438529968,12.339585304260254,1.0,0.24470244348049164,0.0
10,180,2.0,-37.87533950805664,0.0009575103758834302,0.04038050025701523,12.585680961608887,1.0,0.2810928523540497,0.0
10,200,2.0,-36.751651763916016,0.00152587890625,0.036020830273628235,12.757813453674316,1.0,0.3212471604347229,0.0
20,5,2.0,-62.12397003173828,0.0028304813895374537,0.4932922124862671,5.277379512786865,0.0,0.010539921931922436,0.0
20,10,38.0,-63.279991149902344,19.303556442260742,0.5135356187820435,10.026124954223633,0.0,0.07100299745798111,3.0
20,15,46.0,-59.82238006591797,23.660884857177734,0.45811381936073303,11.11434268951416,0.0,0.08457987010478973,5.0
20,20,50.0,-59.876136779785156,23.129365921020508,0.4405441880226135,11.713510513305664,0.0,0.09102443605661392,5.0
20,30,58.0,-58.39197540283203,23.748008728027344,0.39118948578834534,12.7781982421875,0.0,0.1039070338010788,6.0
20,40,64.0,-57.48533630371094,22.32724952697754,0.36786043643951416,13.11325454711914,0.0,0.11346767842769623,6.0
20,60,76.0,-55.98595428466797,21.322534561157227,0.3029630184173584,14.114509582519531,0.0,0.1326170265674591,7.0
20,80,88.0,-53.06312942504883,20.672273635864258,0.2451493740081787,14.545404434204102,0.0,0.1522289365530014,9.0
20,100,102.0,-51.283565521240234,18.353485107421875,0.20001372694969177,14.507019996643066,0.0,0.17326979339122772,10.0
20,120,118.0,-48.908485412597656,15.627445220947266,0.15492801368236542,14.074973106384277,0.0,0.19831052422523499,12.0
20,140,10.0,-46.44894027709961,11.761962890625,0.10914808511734009,13.247323989868164,0.0,0.21093039214611053,0.0
20,150,4.0,-44.77326965332031,9.703426361083984,0.09037972241640091,12.710381507873535,0.0,0.20642106235027313,0.0
20,160,4.0,-43.73765563964844,7.51426887512207,0.07739921659231186,12.2257080078125,0.0,0.1973544955253601,0.0
20,180,2.0,-41.43283462524414,0.2719007432460785,0.058898039162158966,11.629298210144043,1.0,0.1793825477361679,0.0
20,200,2.0,-40.500370025634766,0.001113869366236031,0.05322258919477463,11.936223030090332,1.0,0.20015868544578552,0.0
