seed,fraction,group,current_uA_cm2,n,rate_hz,late_voltage_mV,late_voltage_sd_mV,h_available,sodium_mM,block,calcium_voltage_proxy,late_spikes,synaptic_g_mS_cm2,synaptic_inward_uA_cm2
0,0.25,all,20,40,96.5,-48.563209533691406,25.691802978515625,0.20580069720745087,14.2537202835083,0.0,0.1970950812101364,9.875,0.19951355457305908,9.583117485046387
0,0.25,KD,20,10,117.0,-45.08306884765625,25.231164932250977,0.14924144744873047,14.596755981445312,0.0,0.2424619197845459,11.800000190734863,0.20939263701438904,9.638340950012207
0,0.25,control,20,30,89.66666412353516,-49.72325134277344,25.84535026550293,0.22465381026268005,14.139375686645508,0.0,0.18197280168533325,9.233333587646484,0.1962205022573471,9.564709663391113
0,0.5,all,20,40,100.0,-47.966941833496094,26.237186431884766,0.20053334534168243,14.344406127929688,0.0,0.20592698454856873,10.199999809265137,0.14470848441123962,6.967726707458496
0,0.5,KD,20,20,113.5,-45.658512115478516,26.117630004882812,0.16087862849235535,14.645777702331543,0.0,0.2365289032459259,11.399999618530273,0.1452576071023941,6.797451019287109
0,0.5,control,20,20,86.5,-50.27537155151367,26.356739044189453,0.24018800258636475,14.043034553527832,0.0,0.17532505095005035,9.0,0.14415940642356873,7.138001918792725
0,0.75,all,20,40,103.30000305175781,-47.82770538330078,26.662567138671875,0.19287440180778503,14.510449409484863,0.0,0.21435323357582092,10.274999618530273,0.08835253119468689,4.248532772064209
0,0.75,KD,20,30,109.73332977294922,-46.45210647583008,26.813518524169922,0.173428475856781,14.657194137573242,0.0,0.2286665439605713,11.033333778381348,0.08870837092399597,4.221642971038818
0,0.75,control,20,10,84.0,-51.95452880859375,26.209712982177734,0.2512122392654419,14.070218086242676,0.0,0.1714133322238922,8.0,0.08728499710559845,4.329202175140381
0,1,all,20,40,106.6500015258789,-47.05499267578125,27.65740966796875,0.18524131178855896,14.69633960723877,0.0,0.22402207553386688,10.524999618530273,0.030527692288160324,1.4571199417114258
0,1,KD,20,40,106.6500015258789,-47.05499267578125,27.65740966796875,0.18524131178855896,14.69633960723877,0.0,0.22402207553386688,10.524999618530273,0.030527692288160324,1.4571199417114258
