g_kna_mS_cm2,current_uA_cm2,rate_hz,late_voltage_mV,late_voltage_sd_mV,h_available,sodium_mM,block,calcium_voltage_proxy,late_spikes
0,180,2.0,-41.74701690673828,0.0009338685194961727,0.06089998409152031,11.4607572555542,1.0,0.17090961337089539,0.0
0,200,2.0,-40.807491302490234,0.000102996826171875,0.05500434339046478,11.77619743347168,1.0,0.19338646531105042,0.0
1,0,0.0,-65.1681900024414,0.0021743904799222946,0.6019043326377869,5.119335651397705,0.0,0.0043823327869176865,0.0
1,5,2.0,-61.875,0.0005860690143890679,0.4844524562358856,5.309808254241943,0.0,0.01103990525007248,0.0
1,10,16.0,-59.7172966003418,0.00471679400652647,0.408407598733902,5.705038547515869,0.0,0.03769509494304657,0.0
1,15,70.0,-54.68275451660156,22.583694458007812,0.32455116510391235,12.955018997192383,0.0,0.12911802530288696,7.0
1,20,78.0,-55.1352653503418,22.27556610107422,0.2888553738594055,13.776481628417969,0.0,0.142438143491745,7.0
1,30,92.0,-52.21609115600586,22.60773277282715,0.24507290124893188,14.52519416809082,0.0,0.16540288925170898,9.0
1,40,102.0,-50.93680953979492,21.667985916137695,0.21154409646987915,14.826265335083008,0.0,0.1815837174654007,10.0
1,60,120.0,-49.0950927734375,18.771528244018555,0.1658698469400406,14.763469696044922,0.0,0.20881277322769165,12.0
1,80,132.0,-47.21186065673828,15.91873550415039,0.13005466759204865,14.23205280303955,0.0,0.22805526852607727,13.0
1,90,138.0,-46.46464920043945,14.421396255493164,0.11562933027744293,13.858901023864746,0.0,0.23200121521949768,14.0
1,100,144.0,-45.73806381225586,12.57453441619873,0.10492535680532455,13.428872108459473,0.0,0.2294745147228241,14.0
1,110,6.0,-45.49173355102539,10.777677536010742,0.09645424783229828,12.958524703979492,0.0,0.21619397401809692,0.0
1,120,4.0,-44.63972091674805,9.108468055725098,0.08895187079906464,12.460149765014648,0.0,0.1994388848543167,0.0
1,130,4.0,-44.33741760253906,7.341032981872559,0.08310488611459732,11.965084075927734,0.0,0.17938345670700073,0.0
1,140,4.0,-43.92732238769531,5.402365684509277,0.07872539013624191,11.500479698181152,0.0,0.16203910112380981,0.0
1,150,2.0,-43.57421875,3.0861542224884033,0.07421937584877014,11.087570190429688,0.0,0.1477423906326294,0.0
1,160,2.0,-43.02494430541992,0.0019370925147086382,0.07008267939090729,10.9862060546875,1.0,0.14563016593456268,0.0
