label,family,baseline_E,baseline_I,baseline_ptp,min_activity,max_activity,E_mean_0,I_mean_0,E_ptp_0,crossings_0,I_output_mean_0,E_mean_1,I_mean_1,E_ptp_1,crossings_1,I_output_mean_1,persistent_oscillation,valid_baseline
somatic_targeting/S2/hDlx,somatic_targeting,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.018063534849058666,0.41743108336054224,0.15542624299801358,0.11423862540054847,0.39936750889385014,12,0.11423862540054847,0.15541803485697867,0.11423421960266894,0.39936744013515213,12,0.11423421960266894,True,True
somatic_targeting/S2/I_spared,somatic_targeting,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.028873656929726085,0.0796269668360355,0.03002970600199167,0.03991336560758484,0.0,0,0.03991336560758484,0.03002970600199167,0.03991336560758484,0.0,0,0.03991336560758484,False,True
somatic_targeting/S1/baseline,somatic_targeting,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.0500087784514867,0.0796269668360355,0.06466445263642571,0.06077193168268279,0.0,0,0.06077193168268279,0.06466445263642571,0.06077193168268279,0.0,0,0.06077193168268279,False,True
somatic_targeting/S1/Syn,somatic_targeting,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.04011783152799987,0.0796269668360355,0.048640482360024044,0.04096337231946524,0.0,0,0.04096337231946524,0.048640482360024044,0.04096337231946524,0.0,0,0.04096337231946524,False,True
somatic_targeting/S1/CaMKII,somatic_targeting,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.028873656929726085,0.0796269668360355,0.03002970600199167,0.03991336560758484,0.0,0,0.03991336560758484,0.03002970600199167,0.03991336560758484,0.0,0,0.03991336560758484,False,True
somatic_targeting/S1/hDlx,somatic_targeting,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.018063534849058666,0.41743108336054224,0.15542624299801358,0.11423862540054847,0.39936750889385014,12,0.11423862540054847,0.15541803485697867,0.11423421960266894,0.39936744013515213,12,0.11423421960266894,True,True
somatic_targeting/S1/I_spared,somatic_targeting,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.028873656929726085,0.0796269668360355,0.03002970600199167,0.03991336560758484,0.0,0,0.03991336560758484,0.03002970600199167,0.03991336560758484,0.0,0,0.03991336560758484,False,True
release_circuit/S2/baseline,release_circuit,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.0500087784514867,0.0796269668360355,0.06466445263642571,0.06077193168268279,0.0,0,0.06077193168268279,0.06466445263642571,0.06077193168268279,0.0,0,0.06077193168268279,False,True
release_circuit/S2/Syn,release_circuit,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.042689275521561536,0.4258341764274716,0.20730815923940446,0.21258241581099593,0.3831446512994793,9,0.10629120790549797,0.20397518032486517,0.2073672393005999,0.3831395769452248,9,0.10368361965029994,True,True
release_circuit/S2/CaMKII,release_circuit,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.0500087784514867,0.0796269668360355,0.060530207151415556,0.054159474031151206,0.0,0,0.054159474031151206,0.060530207151415556,0.054159474031151206,0.0,0,0.054159474031151206,False,True
release_circuit/S2/hDlx,release_circuit,0.06466481769661322,0.060771969681394956,9.930038384994844e-06,0.049043052091098126,0.457028582303818,0.26206725621271826,0.28541796947577663,0.4079852904688166,7,0.14270898473788832,0.26237021049197595,0.2860888039234936,0.4079844722676688,7,0.1430444019617468,True,True
