start_heading_deg,expected_final_deg,control_final_deg,control_error_deg,control_turn_displacement_deg,control_turn_rmse_deg,control_resultant,control_spikes_final_window,lesion_final_deg,lesion_error_vs_control_deg,lesion_resultant,lesion_spikes_final_window,activity_ratio,coherence_ratio,control_valid,recovered
190.0,280.0,281.5818630385947,1.5818630385946904,87.36873916896333,4.109842533310795,0.702232810599005,696,224.88430952285515,56.69755351573954,0.7067669900518522,698,1.0028735632183907,1.0064568037613901,True,False
200.0,290.0,291.58186298111394,1.581862981113943,87.36873881776282,4.109842749140219,0.7022328175251887,696,224.9208985655904,66.66096441552355,0.7080698319597024,697,1.0014367816091954,1.0083120786850783,True,False
210.0,300.0,301.58186276098905,1.581862760989054,87.36873824438614,4.10984315115672,0.7022328243437258,696,225.08248816147787,76.49937459951119,0.706780477552934,695,0.9985632183908046,1.0064759906566005,True,False
220.00001525878906,310.0000305175781,311.58186243700413,1.5818319194260084,87.36873759005667,4.109843466029157,0.702232831728564,696,224.93679312168518,86.64506931531895,0.7074985532608089,696,1.0,1.0074985407892183,True,False
230.0,320.0,321.5818619719813,1.5818619719813114,87.36873679949966,4.1098436665194615,0.702232838339318,696,224.61063962976985,96.97122234221146,0.7072623670286602,698,1.0028735632183907,1.0071621952360363,True,False
240.0,330.0,331.5818612958674,1.5818612958673839,87.36873590439268,4.1098438269396755,0.7022328448638684,696,224.75516168619797,106.82669960966942,0.7066204619925702,694,0.9971264367816092,1.0062480944330543,True,False
249.99998474121094,340.0,341.58186039251615,1.5818603925161483,87.36873486660664,4.109844145104552,0.7022328500747329,696,225.0000101029364,116.58185028957976,0.7104700038307987,694,0.9971264367816092,1.0117299464916647,True,False
260.0,350.0,351.5818594188663,1.5818594188663155,87.36873383713626,4.109844505093427,0.7022328528577878,696,225.18621635718944,126.39564306167688,0.7073766346728061,696,1.0,1.0073248948608504,True,False
270.0,0.0,1.581858470256563,1.5818584702565772,87.368732638769,4.109845122196536,0.7022328526861341,696,224.76763545578132,136.81422301447526,0.7078639872430164,694,0.9971264367816092,1.0080188993370822,True,False
280.0,10.0,11.581857608384214,1.5818576083842117,87.3687316144947,4.109845686001518,0.7022328463538622,696,225.01558043376414,146.56627717462004,0.7070009068483597,695,0.9985632183908046,1.0067898568391584,True,False
289.9999694824219,19.999969482421875,21.581856923148234,1.581887440726348,87.3687311567452,4.109845950295178,0.7022328376305993,696,225.12767398874342,156.4541829344048,0.7059202742776937,699,1.0043103448275863,1.005251017112125,True,False
299.9999694824219,29.999969482421875,31.581856340541346,1.581886858119475,87.36873057173551,4.109846473693917,0.7022328326463169,696,224.5336595080678,167.04819683247354,0.7067886099907907,695,0.9985632183908046,1.0064875595851959,True,False
310.0,40.0,41.58185583500626,1.5818558350062517,87.36873017061882,4.10984698649475,0.702232826354669,696,224.98364194948775,176.59821388551848,0.7063569708287861,696,1.0,1.0058729018629418,True,False
320.0,50.0,51.58185568075062,1.581855680750607,87.36873026534022,4.109847281357771,0.7022328176357917,696,224.6895036214625,173.1076479407119,0.7076694997807276,696,1.0,1.0077419938350924,True,False
330.0,60.0,61.58185573803075,1.5818557380307539,87.36873095464858,4.109847319099013,0.7022328084599849,696,225.17022965150693,163.58837391347618,0.7072099917928354,696,1.0,1.0070876542264744,True,False
340.0,70.0,71.58185595526678,1.581855955266775,87.36873195058229,4.1098471548558075,0.7022328017066067,696,224.8194904925409,153.23763453727412,0.7058808711217374,698,1.0028735632183907,1.005194957293742,True,False
350.0,80.0,81.58185626184861,1.5818562618485998,87.36873330306288,4.109846649336381,0.7022327979462922,696,225.14566038253133,143.56380412068273,0.7077517814827948,695,0.9985632183908046,1.0078591936358472,True,False
