run,current_uA_cm2,fraction,group,seeds,rate_hz_mean,rate_hz_seed_sd,block_mean,block_seed_sd,late_voltage_mV_mean,late_voltage_mV_seed_sd,h_available_mean,h_available_seed_sd,synaptic_inward_uA_cm2_mean,synaptic_inward_uA_cm2_seed_sd,cv_normalized_mean,cv_normalized_seed_sd,cs_normalized_mean,cs_normalized_seed_sd,optical_alpha_half_mean,optical_alpha_half_seed_sd
block_dt_half,120,0.5,all,1,31.25,0.0,0.45,0.0,-39.3243408203125,0.0,0.05439621955156326,0.0,1.4784873723983765,0.0,1.1408129243630325,0.0,0.47408857282434436,0.0,0.8074507485936884,0.0
block_dt_half,120,0.5,KD,1,2.5,0.0,0.9,0.0,-36.4420166015625,0.0,0.03544699028134346,0.0,1.3198784589767456,0.0,1.2680801271820776,0.0,0.4232293806492354,0.0,0.8456547539156565,0.0
block_dt_half,120,0.5,control,1,60.0,0.0,0.0,0.0,-42.2066650390625,0.0,0.07334544509649277,0.0,1.6370960474014282,0.0,1.0135457215439871,0.0,0.5249476885486659,0.0,0.7692467050463265,0.0
block_dt_half,120,0.6,all,1,31.100000381469727,0.0,0.525,0.0,-38.7705078125,0.0,0.050711095333099365,0.0,1.425012230873108,0.0,1.167623156297645,0.0,0.45694134924936797,0.0,0.8122822527735064,0.0
block_dt_half,120,0.6,KD,1,3.3333332538604736,0.0,0.875,0.0,-36.41390609741211,0.0,0.0352947972714901,0.0,1.360071063041687,0.0,1.270729054544254,0.0,0.43611745440283906,0.0,0.8534232544735465,0.0
block_dt_half,120,0.6,control,1,72.75,0.0,0.0,0.0,-42.305416107177734,0.0,0.07383553683757782,0.0,1.5224238634109497,0.0,1.0129645297452836,0.0,0.4881771532937675,0.0,0.7505708415195256,0.0
block_dt_half,120,0.7,all,1,29.049999237060547,0.0,0.65,0.0,-38.2078742980957,0.0,0.04757614806294441,0.0,1.3119491338729858,0.0,1.2009795245820172,0.0,0.4206867803591811,0.0,0.8108331524705992,0.0
block_dt_half,120,0.7,KD,1,3.5714285373687744,0.0,0.9285714285714286,0.0,-36.32448196411133,0.0,0.03495931252837181,0.0,1.2065937519073486,0.0,1.280719171854683,0.0,0.3869037507520846,0.0,0.8338114613033838,0.0
block_dt_half,120,0.7,control,1,88.5,0.0,0.0,0.0,-42.60245132446289,0.0,0.07701543718576431,0.0,1.557778239250183,0.0,1.0149198691744328,0.0,0.49951381121701244,0.0,0.7572168401957227,0.0
block_dt_half,120,0.8,all,1,23.350000381469727,0.0,0.675,0.0,-37.61591339111328,0.0,0.04353899881243706,0.0,1.0900089740753174,0.0,1.228424606980639,0.0,0.34951992728001097,0.0,0.788972267130325,0.0
