cycle,time_s,direction_offset_deg,grid_38cm_length_cm,grid_55cm_length_cm,grid_78cm_length_cm,grid_38cm_offset_deg,grid_55cm_offset_deg,grid_78cm_offset_deg,grid_38cm_alignment_cosine,grid_55cm_alignment_cosine,grid_78cm_alignment_cosine
29,2.952,24.281790367353477,4.693245847866345,6.952534488338703,10.017430162562812,15.617444251627388,15.316279630276027,15.138497172702975,0.9885878216466615,0.9877823275604768,0.9872940192571009
30,3.052,-24.281790367353477,4.507786993528303,6.6925232801250365,9.656726153793374,-17.803665569353694,-17.32129478832701,-17.024721850899635,0.9936150036022953,0.9926299424583795,0.9919893731045007
31,3.152,24.281795489995353,4.693234942206589,6.952530518033958,10.017423145166793,15.617214832480558,15.316242261472839,15.138619407605226,0.9885872049663308,0.9877822119869036,0.987294344054193
32,3.2520000000000002,-24.28181427301557,4.507803464431661,6.692538002435599,9.656771785102986,-17.80372058865973,-17.321309508015563,-17.02477679383993,0.9936150648695162,0.9926299230293276,0.9919894415329713
33,3.352,24.28183305603579,4.693244294599023,6.9525463179438365,10.017405951072956,15.61746256770053,15.316287034722928,15.138656139039563,0.9885877575645724,0.9877822315900165,0.9872943417395257
34,3.452,-24.281810857920984,4.507799792967349,6.692530433112214,9.656760800263294,-17.80360776847741,-17.321303041663032,-17.024754337104486,0.9936148494339334,0.992629916575673,0.9919893995515423
35,3.552,24.281797197542645,4.693243069454654,6.95254011594482,10.01742268726314,15.617313732199182,15.316247624749785,15.138437864178542,0.9885874605155535,0.987782221930238,0.9872938358273283
36,3.652,-24.28183476358308,4.50781801842429,6.69254614298627,9.656748373713882,-17.803667607988793,-17.321324241767332,-17.024747930376606,0.9936149201936544,0.9926299108531995,0.9919893327210753
37,3.7520000000000002,24.281795489995353,4.693219545749027,6.952533338151205,10.017406490133924,15.617449762553656,15.3162153054925,15.138672855344515,0.9885878226675632,0.9877821386683584,0.9872944922838465
38,3.852,-24.281817688110156,4.507812156156898,6.692544004002089,9.65677685290185,-17.803712525135296,-17.321296185295264,-17.02477041414174,0.9936150422665055,0.9926298876274755,0.9919894199382391
