condition_type,coupling_dimensionless,delay_ms,perturbation_dimensionless,region,peak_activity_dimensionless,recruited,onset_ms
grid,0.3499999940395355,4.0,0.30000001192092896,0,0.6361941695213318,True,14.0
grid,0.3499999940395355,4.0,0.30000001192092896,1,0.1976778507232666,False,nan
grid,0.3499999940395355,4.0,0.30000001192092896,2,0.04277263209223747,False,nan
grid,0.3499999940395355,4.0,0.30000001192092896,3,0.008584897965192795,False,nan
grid,0.3499999940395355,4.0,0.5,0,0.9283698201179504,True,11.40000057220459
grid,0.3499999940395355,4.0,0.5,1,0.6416749358177185,True,19.100000381469727
grid,0.3499999940395355,4.0,0.5,2,0.20353929698467255,False,nan
grid,0.3499999940395355,4.0,0.5,3,0.04465096816420555,False,nan
grid,0.3499999940395355,4.0,0.699999988079071,0,1.0254265069961548,True,10.90000057220459
grid,0.3499999940395355,4.0,0.699999988079071,1,0.7621630430221558,True,17.700000762939453
grid,0.3499999940395355,4.0,0.699999988079071,2,0.3033706545829773,False,nan
grid,0.3499999940395355,4.0,0.699999988079071,3,0.07115530222654343,False,nan
grid,0.3499999940395355,8.0,0.30000001192092896,0,0.6361941695213318,True,14.0
grid,0.3499999940395355,8.0,0.30000001192092896,1,0.1976778507232666,False,nan
grid,0.3499999940395355,8.0,0.30000001192092896,2,0.04277263209223747,False,nan
grid,0.3499999940395355,8.0,0.30000001192092896,3,0.008584897965192795,False,nan
grid,0.3499999940395355,8.0,0.5,0,0.9283698201179504,True,11.40000057220459
grid,0.3499999940395355,8.0,0.5,1,0.6416749358177185,True,23.100000381469727
grid,0.3499999940395355,8.0,0.5,2,0.20353929698467255,False,nan
grid,0.3499999940395355,8.0,0.5,3,0.04465096816420555,False,nan
grid,0.3499999940395355,8.0,0.699999988079071,0,1.0254265069961548,True,10.90000057220459
grid,0.3499999940395355,8.0,0.699999988079071,1,0.7621630430221558,True,21.700000762939453
grid,0.3499999940395355,8.0,0.699999988079071,2,0.3033706545829773,False,nan
grid,0.3499999940395355,8.0,0.699999988079071,3,0.07115530222654343,False,nan
grid,0.3499999940395355,12.0,0.30000001192092896,0,0.6361941695213318,True,14.0
grid,0.3499999940395355,12.0,0.30000001192092896,1,0.1976778507232666,False,nan
grid,0.3499999940395355,12.0,0.30000001192092896,2,0.04277263209223747,False,nan
grid,0.3499999940395355,12.0,0.30000001192092896,3,0.008584897965192795,False,nan
grid,0.3499999940395355,12.0,0.5,0,0.9283698201179504,True,11.40000057220459
grid,0.3499999940395355,12.0,0.5,1,0.6416749358177185,True,27.100000381469727
grid,0.3499999940395355,12.0,0.5,2,0.20353929698467255,False,nan
grid,0.3499999940395355,12.0,0.5,3,0.04465096816420555,False,nan
grid,0.3499999940395355,12.0,0.699999988079071,0,1.0254265069961548,True,10.90000057220459
grid,0.3499999940395355,12.0,0.699999988079071,1,0.7621630430221558,True,25.700000762939453
grid,0.3499999940395355,12.0,0.699999988079071,2,0.3033706545829773,False,nan
grid,0.3499999940395355,12.0,0.699999988079071,3,0.07115530222654343,False,nan
grid,0.44999998807907104,1.0,0.30000001192092896,0,0.6361941695213318,True,14.0
grid,0.44999998807907104,1.0,0.30000001192092896,1,0.3567264974117279,False,nan
grid,0.44999998807907104,1.0,0.30000001192092896,2,0.11658865958452225,False,nan
grid,0.44999998807907104,1.0,0.30000001192092896,3,0.0314411036670208,False,nan
grid,0.44999998807907104,1.0,0.5,0,0.9283698201179504,True,11.40000057220459
grid,0.44999998807907104,1.0,0.5,1,0.8421472907066345,True,14.600000381469727
grid,0.44999998807907104,1.0,0.5,2,0.7637488842010498,True,18.200000762939453
grid,0.44999998807907104,1.0,0.5,3,0.5924120545387268,True,22.399999618530273
grid,0.44999998807907104,1.0,0.699999988079071,0,1.0254265069961548,True,10.90000057220459
grid,0.44999998807907104,1.0,0.699999988079071,1,0.8874111771583557,True,13.699999809265137
grid,0.44999998807907104,1.0,0.699999988079071,2,0.8091610074043274,True,17.100000381469727
grid,0.44999998807907104,1.0,0.699999988079071,3,0.7070316672325134,True,20.899999618530273
grid,0.44999998807907104,4.0,0.30000001192092896,0,0.6361941695213318,True,14.0
grid,0.44999998807907104,4.0,0.30000001192092896,1,0.3567264974117279,False,nan
grid,0.44999998807907104,4.0,0.30000001192092896,2,0.11658865958452225,False,nan
grid,0.44999998807907104,4.0,0.30000001192092896,3,0.0314411036670208,False,nan
