neuron,cortical_distance_um,rf_distance_deg,orientation_difference_deg,signal_correlation,direct_connection_mA,influence
9.600000000000000000e+01,3.218939794498201081e+02,8.371151248521433885e+00,8.090784758047335856e+01,-5.840119901183443707e-01,0.000000000000000000e+00,-4.629629629629640106e-04
9.700000000000000000e+01,2.317453021435953531e+02,7.923244027431544545e+00,4.234214431453402483e+01,4.808435956632377967e-02,0.000000000000000000e+00,5.092592592592593004e-03
9.800000000000000000e+01,7.577491487688726579e+01,1.324170428931726740e+01,4.474055503342365370e+01,-1.432514890766213578e-01,0.000000000000000000e+00,1.785714285714285962e-02
9.900000000000000000e+01,1.785374875024101300e+02,1.425462883491789512e+01,5.143830899158871972e+01,-2.413026441683326917e-01,0.000000000000000000e+00,-1.435185185185185001e-02
1.000000000000000000e+02,2.439038271861306555e+02,5.223847339552293967e+00,9.897491628332339531e+00,7.961721122448330856e-01,0.000000000000000000e+00,7.936507936507938669e-04
1.010000000000000000e+02,2.090944708931370428e+02,1.421301887993803703e+01,1.559014763866941777e+01,4.795364964418667997e-01,0.000000000000000000e+00,-1.984126984126984017e-03
1.020000000000000000e+02,3.254036606022943943e+02,9.171870722855974378e+00,9.110229744950391506e+00,6.837333734161249454e-01,0.000000000000000000e+00,2.777777777777778317e-03
1.030000000000000000e+02,9.705400334052895062e+01,1.433577367041582562e+01,6.889567597870991733e+01,-4.276836567105475884e-01,0.000000000000000000e+00,2.314814814814814686e-03
1.040000000000000000e+02,1.261590254287202555e+02,1.512165002382362067e+00,2.621170617293057603e+01,6.035658152496120588e-01,0.000000000000000000e+00,-2.645502645502644922e-03
1.050000000000000000e+02,1.684264159545495261e+02,6.671087647959532241e+00,7.608141532394740558e+00,6.991535095335826844e-01,0.000000000000000000e+00,-4.298941798941798703e-03
1.060000000000000000e+02,1.852021521778842441e+02,9.572648424314476046e+00,5.788634909754252789e+01,-3.820734346846930141e-01,0.000000000000000000e+00,-4.629629629629636312e-04
1.070000000000000000e+02,2.692927516200689411e+02,1.287754574001197305e+01,6.090370351012297334e+01,-3.712157179519078309e-01,0.000000000000000000e+00,-2.777777777777777884e-03
1.080000000000000000e+02,2.507992754170253704e+02,4.365523091442026882e+00,4.890746858146577836e+00,9.065836370322537530e-01,0.000000000000000000e+00,-2.314814814814814686e-03
1.090000000000000000e+02,1.389990233779477933e+02,5.607714991435727825e+00,6.954320047587934539e+01,-4.272903474585481587e-01,9.968556132334163711e-02,6.944444444444444059e-03
1.100000000000000000e+02,2.151220093468196524e+02,1.017168075064206612e+01,8.549664874240029633e+00,5.394858054522164714e-01,0.000000000000000000e+00,-8.796296296296295114e-03
1.110000000000000000e+02,2.471888135815623855e+02,1.076687289752570109e+01,4.722721451041739016e+01,8.624923675692843308e-03,0.000000000000000000e+00,2.645502645502645356e-03
1.120000000000000000e+02,1.876498296198733726e+02,1.065631462600823731e+01,8.705116706455090991e+01,-6.638590518708206156e-01,0.000000000000000000e+00,1.633597883597883924e-02
1.130000000000000000e+02,1.788279196076271944e+02,1.209856492749428369e+01,7.281376749967212181e-01,7.472464221676075047e-01,0.000000000000000000e+00,3.306878306878306695e-04
1.140000000000000000e+02,1.942835788296379178e+02,1.347424854676429540e+01,9.030437376897353374e+00,7.980521505987129283e-01,0.000000000000000000e+00,3.306878306878307128e-03
1.150000000000000000e+02,9.665632474679021868e+01,7.483772339475777358e+00,3.696463682801245199e+01,2.406509604325174079e-01,0.000000000000000000e+00,-6.944444444444444059e-03
1.160000000000000000e+02,1.633256658720036398e+02,9.657059593845316314e+00,1.600294352497954975e+01,3.824302456738289391e-01,0.000000000000000000e+00,-8.068783068783067294e-03
1.170000000000000000e+02,5.337175773658988476e+01,1.000105928980534387e+01,7.646110654025584097e+01,-3.913356484484865061e-01,0.000000000000000000e+00,2.314814814814814686e-03
1.180000000000000000e+02,2.549606818589705313e+02,3.506237315782957165e+00,8.055035327106888587e+01,-5.673296228688086140e-01,0.000000000000000000e+00,4.629629629629630240e-03
1.190000000000000000e+02,1.909929060172438255e+02,8.158002347810320742e+00,1.901154890597766922e+01,5.719960780505521925e-01,0.000000000000000000e+00,-5.092592592592593004e-03
