cycle,direction_offset_deg,grid_38cm_length_cm,grid_55cm_length_cm,grid_78cm_length_cm,grid_38cm_offset_deg,grid_55cm_offset_deg,grid_78cm_offset_deg,grid_38cm_alignment_cosine,grid_55cm_alignment_cosine,grid_78cm_alignment_cosine
21,24.27270621575736,4.693348167937628,6.952683196110581,10.017743591204015,15.613008628805078,15.312271372967153,15.134568534829826,0.9886000405977218,0.9877961297070558,0.9873083135625274
22,-24.280991235220583,4.507829273885695,6.692563076041955,9.656863746406312,-17.802542605977287,-17.32024016733829,-17.02357493020419,0.9936143659148032,0.9926294020699701,0.9919886063086136
23,24.283817225989676,4.693192089073484,6.952486306282467,10.017364801454875,15.618304421109372,15.317189031843226,15.13941908604357,0.9885847539090808,0.9877792879795613,0.9872909546181171
24,-24.282102848508003,4.5077991015834735,6.69251393525144,9.656740408843026,-17.803958399944612,-17.321592402480732,-17.024966693877207,0.9936149649073702,0.9926299110134983,0.9919892239803322
25,24.281353235246595,4.693236778063079,6.952533624700681,10.017447721429326,15.6172061049917,15.316121999287887,15.138424439430016,0.9885883448258372,0.9877830877692112,0.9872950298608956
26,-24.28173231074553,4.507816269184645,6.692539800559093,9.656765600274015,-17.80357645120699,-17.32126688737254,-17.02470055201952,0.9936149424373846,0.9926300062397638,0.9919894541449223
27,24.28188257490727,4.693223192902854,6.952520261015305,10.01738298360539,15.617400205480783,15.316306593611927,15.138590427725186,0.9885874633970525,0.9877821501008288,0.9872940221621498
28,-24.28183476358308,4.50780490077876,6.692530893274751,9.656778096001807,-17.80372843282793,-17.321323086626144,-17.02472821642552,0.9936150399669802,0.9926299084099818,0.9919892892570965
29,24.281790367353477,4.693247012440915,6.952535494777181,10.01743105508647,15.617429724575642,15.31627735874751,15.138516041820761,0.9885877834511899,0.9877823213821018,0.9872940715886606
30,-24.28179890508994,4.507786993528303,6.6925231007531405,9.656726153793375,-17.803665569353694,-17.321289864425935,-17.02472185089963,0.9936149867902182,0.9926299139859555,0.9919893542811415
31,24.281797197542645,4.693234942206589,6.952531868552828,10.017426448467864,15.617214832480558,15.316234065611107,15.138624421168267,0.9885872004766189,0.9877821850502889,0.9872943532229794
32,-24.281826225846615,4.50780371897393,6.692538181807693,9.656771785102986,-17.803730663258236,-17.32131443190515,-17.024776793839926,0.9936150611710157,0.9926299081625499,0.9919894151803745
33,24.281831348488495,4.693245459173213,6.952547157315594,10.017406397339222,15.617448040639422,15.316287875003113,15.13866557361461,0.9885877238585802,0.9877822385199277,0.9872943726406807
34,-24.281810857920984,4.507800606675203,6.692531050877567,9.656760299949275,-17.803610003928075,-17.321306520688477,-17.02474464262962,0.9936148538359186,0.9926299239340899,0.9919893781779269
35,24.281795489995353,4.6932435061711,6.952540460024938,10.017425544301574,15.61730828456285,15.316241700419381,15.13843344323518,0.9885874506817189,0.9877822104608762,0.9872938283019402
